name,category,subCategory,availableQuantity,orderedQuantity,,image
Round Neck Full Sleeve T-Shirt,clothing,t-shirt,113,0,,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Slim Fit Casual Shirt,clothing,shirt,141,0,,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/i/t/itbsh00254_pink.jpg
Poly Cotton Tshirt,clothing,t-shirt,184,0,,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Cotton Casual Shirt Full Sleeves,clothing,shirt,184,0,,https://comps.canstockphoto.com/side-view-of-handsome-casual-man-wearing-stock-images_csp57206259.jpg
Slim Fit Jeans ,clothing,zeans,117,0,,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Casual Shirt ,clothing,shirt,122,0,,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Black Slim Fit Stretch Jeans,clothing,zeans,130,0,,https://previews.123rf.com/images/prometeus/prometeus1603/prometeus160300101/53116588-full-length-portrait-of-a-handsome-man-wearing-jeans-clothes-and-a-coat-men-s-beauty-seasonal-fashio.jpg
Cotton Casual Shirt Full Sleeves,clothing,shirt,127,0,,https://comps.canstockphoto.com/side-view-of-handsome-casual-man-wearing-stock-images_csp57206259.jpg
Checkered Formal Shirt,clothing,shirt,141,0,,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
Jogger Jeans Stretch,clothing,zeans,167,0,,https://www.realmenrealstyle.com/wp-content/uploads/Denim-Jeans-1.jpg
Cotton T-Shirt,clothing,t-shirt,192,0,,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Purple Printed T-Shirt,clothing,t-shirt,165,0,,https://cdn.shopify.com/s/files/1/2959/1448/products/imnotlazy-mens-hg_2596x.jpg?v=1584085190
Cotton Solid Half Sleeve Shirt,clothing,shirt,121,0,,https://www.indianterrain.com/media/catalog/product/cache/e4d64343b1bc593f1c5348fe05efa4a6/i/t/itbsh00254_pink.jpg
Jogger Jeans Stretch,clothing,zeans,124,0,,https://img.mensxp.com/media/content/2018/Mar/mistakes-men-make-while-wearing-jeans1-1519901552.jpg?h=663&w=368&cc=1
Cotton Casual White Shirt,clothing,shirt,162,0,,https://comps.canstockphoto.com/side-view-of-handsome-casual-man-wearing-stock-images_csp57206259.jpg
Full Sleeve Hooded T-Shirt,clothing,t-shirt,165,0,,https://reddapparel.in/wp-content/uploads/2018/11/FRONT-ANONYMOUS.png
Cotton Formal Shirt,clothing,shirt,188,0,,https://previews.123rf.com/images/victorias/victorias1707/victorias170700012/81561785-cheerful-man-in-checked-shirt-and-smart-casual-wear-looking-at-camera-handsome-guy-in-street-clothes.jpg
Cotton Chinese Collar Plain  Shirt,clothing,shirt,153,0,,https://image.shutterstock.com/z/stock-photo-sexy-smiling-man-wear-white-shirt-and-jeans-770611231.jpg
