name,category,subCategory,availableQuantity,orderedQuantity,price,image
Aristocrat 34 Ltrs Blue Laptop Backpack,accessories,bags,120,0,473,https://i.pinimg.com/originals/93/c0/53/93c053df13aec68c6dd6f4a4af26a84b.jpg
Leather Strap Watch,accessories,watches,136,0,544,https://pmcspy.files.wordpress.com/2019/07/best-mens-watches-2019-e1565040231745.jpg?w=714
Analog Black Dial Watch,accessories,watches,181,0,637,https://cdn.pocket-lint.com/r/s/970x/assets/images/149387-smartwatches-review-fossil-gen-5-smartwatch-review-image1-sewetfzad8-jpg.webp
Sports  digital Dial Watch,accessories,watches,109,0,194,https://cdn.pocket-lint.com/r/s/970x/assets/images/149387-smartwatches-review-fossil-gen-5-smartwatch-review-image1-sewetfzad8-jpg.webp
Date Men's Watch,accessories,watches,104,0,440,https://primeambassador.com/assets/images/menu/men.jpg
Men's Navy Genuine Leather RFID Blocking Wallet,accessories,wallets,123,0,556,https://cdn.gearpatrol.com/wp-content/uploads/2018/06/The-30-Best-Wallets-for-Men-gear-patrol-full-lead-02.jpg
BP004 Navy Blue Light Weight 31 Ltrs Casual Laptop Backpack,accessories,bags,161,0,703,https://cdn.hiconsumption.com/wp-content/uploads/2019/10/Best-Work-Bags-For-Men-0-Hero.jpg
Hike CAMO Rucksack Bag,accessories,bags,164,0,427,https://i.pinimg.com/originals/a8/46/09/a84609ac0a4efe0b7511a02f2cc8447d.jpg
"Mufubu Presents Get Unbarred 55 LTR Rucksack for Trekking, Hiking with Shoe Compartment",accessories,bags,125,0,701,https://i.pinimg.com/originals/a8/46/09/a84609ac0a4efe0b7511a02f2cc8447d.jpg
Analog Blue Dial Watch,accessories,watches,131,0,769,https://pmcspy.files.wordpress.com/2019/07/best-mens-watches-2019-e1565040231745.jpg?w=714
Milestone Laptop Bag for Men,accessories,bags,178,0,732,https://ae01.alicdn.com/kf/HTB1FWMmm3DD8KJjy0Fdq6AjvXXaN/XINCADA-Vintage-Retro-Style-Crossbody-Cross-body-Sling-Bag-Small-Messenger-Man-Purse-Shoulder-Travel-Chest.jpg_960x960.jpg
Blue Multi Functional Watch,accessories,watches,115,0,623,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/imEWfaVQvjA0/v0/1000x-1.jpg
15.6 Inch Laptop Backpack,accessories,bags,166,0,614,https://i.pinimg.com/originals/93/c0/53/93c053df13aec68c6dd6f4a4af26a84b.jpg
Men's Leather Casual Regular Purse Wallet,accessories,wallets,154,0,270,https://i0.wp.com/pickawallet.com/wp-content/uploads/2016/11/fashion-men-wallets-famous-brand-genuine-leather-wallet-hasp-design-wallets-with-coin-pocket-purse-card.jpg?fit=800%2C800&ssl=1
Branded Metal Body Square,accessories,sunglass,184,0,197,https://ae01.alicdn.com/kf/H2f4f515268c4430c9cbb6f478f77782eS/Steampunk-Men-Sunglasses-Round-Metal-Sun-Glasses-Women-Retro-Flip-Fashion-Brand-Party-Sunglasses-Mens-UV400.jpg
Matt Finish Club Master Wayfarer,accessories,sunglass,138,0,937,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS6H2zoDizQLTl-64OQhcxwifzhoYGgaUAv3wPHn3sdy_rqi0Lz&usqp=CAU
Tony Stark Avengers Infinity War Sunglasses,accessories,sunglass,145,0,825,https://5.imimg.com/data5/YG/QX/MY-38968487/men-s-goggle-500x500.jpg
Polarized Aviator Black Sunglasses,accessories,sunglass,131,0,777,https://ae01.alicdn.com/kf/H2f4f515268c4430c9cbb6f478f77782eS/Steampunk-Men-Sunglasses-Round-Metal-Sun-Glasses-Women-Retro-Flip-Fashion-Brand-Party-Sunglasses-Mens-UV400.jpg
32 Ltrs Black Casual Backpack,accessories,bags,156,0,715,https://ae01.alicdn.com/kf/HTB1FWMmm3DD8KJjy0Fdq6AjvXXaN/XINCADA-Vintage-Retro-Style-Crossbody-Cross-body-Sling-Bag-Small-Messenger-Man-Purse-Shoulder-Travel-Chest.jpg_960x960.jpg
Brown leather Strap Watch,accessories,watches,160,0,831,https://assets.bwbx.io/images/users/iqjWHBFdfxIU/imEWfaVQvjA0/v0/1000x-1.jpg
Gradient Aviator Men's Sunglasses,accessories,sunglass,198,0,518,https://5.imimg.com/data5/YG/QX/MY-38968487/men-s-goggle-500x500.jpg
RFID Protected 100% Genuine Leather Wallet,accessories,wallets,101,0,135,https://ae01.alicdn.com/kf/HTB1.zM9KVXXXXcBXVXXq6xXFXXXG/Canvas-Wallet-Boys-Short-Purse-Money-Bag-3-Colors-Young-Men-Card-Holder-Kids-Student-Wallets.jpg
Dark Blue Men's Wallet,accessories,wallets,108,0,268,https://ae01.alicdn.com/kf/HTB1.zM9KVXXXXcBXVXXq6xXFXXXG/Canvas-Wallet-Boys-Short-Purse-Money-Bag-3-Colors-Young-Men-Card-Holder-Kids-Student-Wallets.jpg
UV protected Square Men's Sunglasses,accessories,sunglass,145,0,618,https://encrypted-tbn0.gstatic.com/images?q=tbn%3AANd9GcS6H2zoDizQLTl-64OQhcxwifzhoYGgaUAv3wPHn3sdy_rqi0Lz&usqp=CAU
Analogue Date Watch,accessories,watches,186,0,349,https://primeambassador.com/assets/images/menu/men.jpg
Water Resistant Casual Backpack,accessories,bags,181,0,703,https://pyxis.nymag.com/v1/imgs/159/dc0/815213684d7f8050233328a25c6b1ba9fe-pc-messenger-bags-for-men-lede.rsquare.w700.jpg
UV Protection Square Metal Body Unisex Sunglass,accessories,sunglass,148,0,388,https://5.imimg.com/data5/YG/QX/MY-38968487/men-s-goggle-500x500.jpg
Stylish RFID Protected Genuine Leather Wallet,accessories,wallets,154,0,185,https://gloimg.drlcdn.com/L/pdm-provider-img/straight-product-img/20171209/T011454/T0114540033/source-img/183558-6973.jpg
Blue Dial day and date Watch,accessories,watches,148,0,344,https://primeambassador.com/assets/images/menu/men.jpg
